WikidataURI,EventName,StartDate,EndDate,EventType,City,Attendance
,London Jazz Festival,2012-11-05 00:00:00.000,2012-11-08 00:00:00.000,Fictitious,London,47553
,Lord Mayor's Show,2012-11-08 00:00:00.000,2012-11-15 00:00:00.000,Fictitious,London,560356
,Guy Fawkes Night - Victoria Embankment,2012-11-15 00:00:00.000,2012-11-22 00:00:00.000,Fictitious,London,50349
,New Year's Eve Fireworks,2012-12-06 00:00:00.000,2012-12-13 00:00:00.000,Fictitious,London,100945
,London International Horse Show,2012-12-17 00:00:00.000,2012-12-18 00:00:00.000,Fictitious,London,84340
,London Fashion Week,2013-02-07 00:00:00.000,2013-02-14 00:00:00.000,Fictitious,London,83927
,London Book Fair,2013-03-16 00:00:00.000,2013-03-23 00:00:00.000,Fictitious,London,24373
,London Marathon,2013-04-08 00:00:00.000,2013-04-09 00:00:00.000,Fictitious,London,740857
,Chelsea Flower Show,2013-05-27 00:00:00.000,2013-05-28 00:00:00.000,Fictitious,London,143457
,London Pride,2013-06-05 00:00:00.000,2013-06-12 00:00:00.000,Fictitious,London,300685
,RHS Hampton Court Palace Garden Festival,2013-07-07 00:00:00.000,2013-07-14 00:00:00.000,Fictitious,London,132352
,Notting Hill Carnival,2013-08-07 00:00:00.000,2013-08-10 00:00:00.000,Fictitious,London,1040842
,Thames Festival,2013-09-08 00:00:00.000,2013-09-15 00:00:00.000,Fictitious,London,93987
,London Film Festival,2013-10-12 00:00:00.000,2013-10-19 00:00:00.000,Fictitious,London,173343
,Lord Mayor's Show,2013-11-11 00:00:00.000,2013-11-18 00:00:00.000,Fictitious,London,531028
,Guy Fawkes Night - Victoria Embankment,2013-11-18 00:00:00.000,2013-11-25 00:00:00.000,Fictitious,London,54329
,London Jazz Festival,2013-11-22 00:00:00.000,2013-11-25 00:00:00.000,Fictitious,London,47599
,Christmas Lights Switch-On - Oxford Street,2013-11-24 00:00:00.000,2013-11-28 00:00:00.000,Fictitious,London,188642
,London International Horse Show,2013-12-22 00:00:00.000,2013-12-23 00:00:00.000,Fictitious,London,89684
,New Year's Eve Fireworks,2013-12-25 00:00:00.000,2013-12-28 00:00:00.000,Fictitious,London,110138
,London Fashion Week,2014-02-02 00:00:00.000,2014-02-09 00:00:00.000,Fictitious,London,83096
,London Book Fair,2014-03-21 00:00:00.000,2014-03-28 00:00:00.000,Fictitious,London,24753
,London Marathon,2014-04-09 00:00:00.000,2014-04-10 00:00:00.000,Fictitious,London,805697
,Chelsea Flower Show,2014-05-25 00:00:00.000,2014-05-28 00:00:00.000,Fictitious,London,161255
,London Pride,2014-06-03 00:00:00.000,2014-06-10 00:00:00.000,Fictitious,London,318416
,RHS Hampton Court Palace Garden Festival,2014-07-25 00:00:00.000,2014-07-28 00:00:00.000,Fictitious,London,126622
,Notting Hill Carnival,2014-08-23 00:00:00.000,2014-08-26 00:00:00.000,Fictitious,London,1104797
,Thames Festival,2014-09-27 00:00:00.000,2014-09-28 00:00:00.000,Fictitious,London,95795
,London Film Festival,2014-10-20 00:00:00.000,2014-10-27 00:00:00.000,Fictitious,London,150957
,Guy Fawkes Night - Victoria Embankment,2014-11-01 00:00:00.000,2014-11-08 00:00:00.000,Fictitious,London,52163
,Christmas Lights Switch-On - Oxford Street,2014-11-17 00:00:00.000,2014-11-24 00:00:00.000,Fictitious,London,212574
,London Jazz Festival,2014-11-18 00:00:00.000,2014-11-21 00:00:00.000,Fictitious,London,40538
,Lord Mayor's Show,2014-11-18 00:00:00.000,2014-11-25 00:00:00.000,Fictitious,London,561136
,New Year's Eve Fireworks,2014-12-01 00:00:00.000,2014-12-08 00:00:00.000,Fictitious,London,102374
,London International Horse Show,2014-12-18 00:00:00.000,2014-12-19 00:00:00.000,Fictitious,London,82057
,London Fashion Week,2015-02-25 00:00:00.000,2015-02-28 00:00:00.000,Fictitious,London,75956
,London Book Fair,2015-03-09 00:00:00.000,2015-03-16 00:00:00.000,Fictitious,London,22837
,London Marathon,2015-04-01 00:00:00.000,2015-04-02 00:00:00.000,Fictitious,London,796585
,Chelsea Flower Show,2015-05-05 00:00:00.000,2015-05-12 00:00:00.000,Fictitious,London,145730
,London Pride,2015-06-28 00:00:00.000,2015-06-28 00:00:00.000,Fictitious,London,271894
,RHS Hampton Court Palace Garden Festival,2015-07-07 00:00:00.000,2015-07-14 00:00:00.000,Fictitious,London,126132
,Notting Hill Carnival,2015-08-21 00:00:00.000,2015-08-24 00:00:00.000,Fictitious,London,897136
,Thames Festival,2015-09-02 00:00:00.000,2015-09-09 00:00:00.000,Fictitious,London,84147
,London Film Festival,2015-10-02 00:00:00.000,2015-10-09 00:00:00.000,Fictitious,London,168821
,Guy Fawkes Night - Victoria Embankment,2015-11-04 00:00:00.000,2015-11-11 00:00:00.000,Fictitious,London,52180
,Lord Mayor's Show,2015-11-08 00:00:00.000,2015-11-15 00:00:00.000,Fictitious,London,529035
,London Jazz Festival,2015-11-14 00:00:00.000,2015-11-17 00:00:00.000,Fictitious,London,39943
,Christmas Lights Switch-On - Oxford Street,2015-11-17 00:00:00.000,2015-11-24 00:00:00.000,Fictitious,London,219806
,New Year's Eve Fireworks,2015-12-16 00:00:00.000,2015-12-23 00:00:00.000,Fictitious,London,88467
,London International Horse Show,2015-12-19 00:00:00.000,2015-12-20 00:00:00.000,Fictitious,London,91646
,London Fashion Week,2016-02-03 00:00:00.000,2016-02-10 00:00:00.000,Fictitious,London,86822
,London Book Fair,2016-03-24 00:00:00.000,2016-03-28 00:00:00.000,Fictitious,London,25368
,London Marathon,2016-04-06 00:00:00.000,2016-04-07 00:00:00.000,Fictitious,London,785665
,Chelsea Flower Show,2016-05-16 00:00:00.000,2016-05-23 00:00:00.000,Fictitious,London,177158
,London Pride,2016-06-21 00:00:00.000,2016-06-28 00:00:00.000,Fictitious,London,275518
,RHS Hampton Court Palace Garden Festival,2016-07-13 00:00:00.000,2016-07-20 00:00:00.000,Fictitious,London,134260
,Notting Hill Carnival,2016-08-21 00:00:00.000,2016-08-24 00:00:00.000,Fictitious,London,921073
,Thames Festival,2016-09-02 00:00:00.000,2016-09-09 00:00:00.000,Fictitious,London,96588
,London Film Festival,2016-10-18 00:00:00.000,2016-10-25 00:00:00.000,Fictitious,London,145593
,London Jazz Festival,2016-11-03 00:00:00.000,2016-11-06 00:00:00.000,Fictitious,London,41961
,Guy Fawkes Night - Victoria Embankment,2016-11-18 00:00:00.000,2016-11-25 00:00:00.000,Fictitious,London,53010
,Lord Mayor's Show,2016-11-23 00:00:00.000,2016-11-28 00:00:00.000,Fictitious,London,618878
,Christmas Lights Switch-On - Oxford Street,2016-11-28 00:00:00.000,2016-11-28 00:00:00.000,Fictitious,London,206014
,London International Horse Show,2016-12-08 00:00:00.000,2016-12-09 00:00:00.000,Fictitious,London,96147
,New Year's Eve Fireworks,2016-12-12 00:00:00.000,2016-12-19 00:00:00.000,Fictitious,London,109089
,Tour de Yorkshire,2010-04-01 00:00:00.000,2010-04-02 00:00:00.000,Fictitious,Leeds,180029
,Leeds 10K,2010-05-09 00:00:00.000,2010-05-10 00:00:00.000,Fictitious,Leeds,8643
,Leeds Half Marathon,2010-05-13 00:00:00.000,2010-05-14 00:00:00.000,Fictitious,Leeds,10985
,Reading Festival Leeds,2010-08-01 00:00:00.000,2010-08-04 00:00:00.000,Fictitious,Leeds,94031
,Leeds West Indian Carnival,2010-08-08 00:00:00.000,2010-08-11 00:00:00.000,Fictitious,Leeds,94590
,Leeds Festival,2010-08-15 00:00:00.000,2010-08-18 00:00:00.000,Fictitious,Leeds,93793
,Leeds Pride,2010-08-18 00:00:00.000,2010-08-25 00:00:00.000,Fictitious,Leeds,32893
,Leeds Food and Drink Festival,2010-09-14 00:00:00.000,2010-09-21 00:00:00.000,Fictitious,Leeds,24445
,Light Night Leeds,2010-10-14 00:00:00.000,2010-10-21 00:00:00.000,Fictitious,Leeds,64760
,Leeds Christmas Markets,2010-11-14 00:00:00.000,2010-11-21 00:00:00.000,Fictitious,Leeds,249138
,Leeds International Film Festival,2010-11-22 00:00:00.000,2010-11-28 00:00:00.000,Fictitious,Leeds,28635
,Tour de Yorkshire,2011-04-14 00:00:00.000,2011-04-15 00:00:00.000,Fictitious,Leeds,182513
,Leeds Half Marathon,2011-05-08 00:00:00.000,2011-05-09 00:00:00.000,Fictitious,Leeds,10069
,Leeds 10K,2011-05-16 00:00:00.000,2011-05-17 00:00:00.000,Fictitious,Leeds,7077
,Leeds West Indian Carnival,2011-08-03 00:00:00.000,2011-08-06 00:00:00.000,Fictitious,Leeds,105125
,Reading Festival Leeds,2011-08-10 00:00:00.000,2011-08-13 00:00:00.000,Fictitious,Leeds,90170
,Leeds Festival,2011-08-17 00:00:00.000,2011-08-20 00:00:00.000,Fictitious,Leeds,89420
,Leeds Pride,2011-08-28 00:00:00.000,2011-08-28 00:00:00.000,Fictitious,Leeds,31819
,Leeds Food and Drink Festival,2011-09-18 00:00:00.000,2011-09-25 00:00:00.000,Fictitious,Leeds,24795
,Light Night Leeds,2011-10-18 00:00:00.000,2011-10-25 00:00:00.000,Fictitious,Leeds,59221
,Leeds Christmas Markets,2011-11-13 00:00:00.000,2011-11-20 00:00:00.000,Fictitious,Leeds,240167
,Leeds International Film Festival,2011-11-26 00:00:00.000,2011-11-28 00:00:00.000,Fictitious,Leeds,27833
,Tour de Yorkshire,2012-04-15 00:00:00.000,2012-04-16 00:00:00.000,Fictitious,Leeds,184722
,Leeds 10K,2012-05-18 00:00:00.000,2012-05-19 00:00:00.000,Fictitious,Leeds,7140
,Leeds Half Marathon,2012-05-23 00:00:00.000,2012-05-24 00:00:00.000,Fictitious,Leeds,9694
,Leeds Pride,2012-08-05 00:00:00.000,2012-08-12 00:00:00.000,Fictitious,Leeds,37531
,Leeds West Indian Carnival,2012-08-08 00:00:00.000,2012-08-11 00:00:00.000,Fictitious,Leeds,94521
,Leeds Festival,2012-08-26 00:00:00.000,2012-08-28 00:00:00.000,Fictitious,Leeds,95096
,Reading Festival Leeds,2012-08-28 00:00:00.000,2012-08-28 00:00:00.000,Fictitious,Leeds,92989
,Leeds Food and Drink Festival,2012-09-02 00:00:00.000,2012-09-09 00:00:00.000,Fictitious,Leeds,23241
,Light Night Leeds,2012-10-06 00:00:00.000,2012-10-13 00:00:00.000,Fictitious,Leeds,63508
,Leeds International Film Festival,2012-11-01 00:00:00.000,2012-11-08 00:00:00.000,Fictitious,Leeds,26732
,Leeds Christmas Markets,2012-11-22 00:00:00.000,2012-11-28 00:00:00.000,Fictitious,Leeds,267888
,Tour de Yorkshire,2013-04-09 00:00:00.000,2013-04-10 00:00:00.000,Fictitious,Leeds,194196
,Leeds 10K,2013-05-12 00:00:00.000,2013-05-13 00:00:00.000,Fictitious,Leeds,7470
,Leeds Half Marathon,2013-05-25 00:00:00.000,2013-05-26 00:00:00.000,Fictitious,Leeds,11951
,Leeds West Indian Carnival,2013-08-11 00:00:00.000,2013-08-14 00:00:00.000,Fictitious,Leeds,109432
,Leeds Festival,2013-08-22 00:00:00.000,2013-08-25 00:00:00.000,Fictitious,Leeds,81031
,Leeds Pride,2013-08-22 00:00:00.000,2013-08-28 00:00:00.000,Fictitious,Leeds,35261
,Reading Festival Leeds,2013-08-27 00:00:00.000,2013-08-28 00:00:00.000,Fictitious,Leeds,83348
,Leeds Food and Drink Festival,2013-09-14 00:00:00.000,2013-09-21 00:00:00.000,Fictitious,Leeds,24336
,Light Night Leeds,2013-10-16 00:00:00.000,2013-10-23 00:00:00.000,Fictitious,Leeds,59281
,Leeds International Film Festival,2013-11-16 00:00:00.000,2013-11-23 00:00:00.000,Fictitious,Leeds,30801
,Leeds Christmas Markets,2013-11-24 00:00:00.000,2013-11-28 00:00:00.000,Fictitious,Leeds,229902
,Tour de Yorkshire,2014-04-07 00:00:00.000,2014-04-08 00:00:00.000,Fictitious,Leeds,197825
,Leeds 10K,2014-05-03 00:00:00.000,2014-05-04 00:00:00.000,Fictitious,Leeds,8539
,Leeds Half Marathon,2014-05-04 00:00:00.000,2014-05-05 00:00:00.000,Fictitious,Leeds,11735
,Leeds West Indian Carnival,2014-08-03 00:00:00.000,2014-08-06 00:00:00.000,Fictitious,Leeds,91320
,Leeds Festival,2014-08-17 00:00:00.000,2014-08-20 00:00:00.000,Fictitious,Leeds,93539
,Leeds Pride,2014-08-18 00:00:00.000,2014-08-25 00:00:00.000,Fictitious,Leeds,35801
,Reading Festival Leeds,2014-08-24 00:00:00.000,2014-08-27 00:00:00.000,Fictitious,Leeds,89786
,Leeds Food and Drink Festival,2014-09-25 00:00:00.000,2014-09-28 00:00:00.000,Fictitious,Leeds,25504
,Light Night Leeds,2014-10-25 00:00:00.000,2014-10-28 00:00:00.000,Fictitious,Leeds,56360
,Leeds Christmas Markets,2014-11-15 00:00:00.000,2014-11-22 00:00:00.000,Fictitious,Leeds,275172
,Leeds International Film Festival,2014-11-25 00:00:00.000,2014-11-28 00:00:00.000,Fictitious,Leeds,26924
,Tour de Yorkshire,2015-04-11 00:00:00.000,2015-04-12 00:00:00.000,Fictitious,Leeds,212539
,Leeds Half Marathon,2015-05-08 00:00:00.000,2015-05-09 00:00:00.000,Fictitious,Leeds,10144
,Leeds 10K,2015-05-21 00:00:00.000,2015-05-22 00:00:00.000,Fictitious,Leeds,7117
,Leeds West Indian Carnival,2015-08-08 00:00:00.000,2015-08-11 00:00:00.000,Fictitious,Leeds,97192
,Leeds Festival,2015-08-20 00:00:00.000,2015-08-23 00:00:00.000,Fictitious,Leeds,86440
,Leeds Pride,2015-08-25 00:00:00.000,2015-08-28 00:00:00.000,Fictitious,Leeds,38287
,Reading Festival Leeds,2015-08-26 00:00:00.000,2015-08-28 00:00:00.000,Fictitious,Leeds,87106
,Leeds Food and Drink Festival,2015-09-23 00:00:00.000,2015-09-28 00:00:00.000,Fictitious,Leeds,22117
,Light Night Leeds,2015-10-21 00:00:00.000,2015-10-28 00:00:00.000,Fictitious,Leeds,56793
,Leeds International Film Festival,2015-11-14 00:00:00.000,2015-11-21 00:00:00.000,Fictitious,Leeds,32780
,Leeds Christmas Markets,2015-11-20 00:00:00.000,2015-11-27 00:00:00.000,Fictitious,Leeds,252047
,Tour de Yorkshire,2016-04-13 00:00:00.000,2016-04-14 00:00:00.000,Fictitious,Leeds,189356
,Leeds 10K,2016-05-01 00:00:00.000,2016-05-02 00:00:00.000,Fictitious,Leeds,8863
,Leeds Half Marathon,2016-05-23 00:00:00.000,2016-05-24 00:00:00.000,Fictitious,Leeds,11047
,Leeds West Indian Carnival,2016-08-05 00:00:00.000,2016-08-08 00:00:00.000,Fictitious,Leeds,104954
,Reading Festival Leeds,2016-08-08 00:00:00.000,2016-08-11 00:00:00.000,Fictitious,Leeds,84759
,Leeds Pride,2016-08-20 00:00:00.000,2016-08-27 00:00:00.000,Fictitious,Leeds,37646
,Leeds Festival,2016-08-27 00:00:00.000,2016-08-28 00:00:00.000,Fictitious,Leeds,99763
,Leeds Food and Drink Festival,2016-09-25 00:00:00.000,2016-09-28 00:00:00.000,Fictitious,Leeds,25454
,Light Night Leeds,2016-10-25 00:00:00.000,2016-10-28 00:00:00.000,Fictitious,Leeds,60306
,Leeds Christmas Markets,2016-11-13 00:00:00.000,2016-11-20 00:00:00.000,Fictitious,Leeds,255513
,Leeds International Film Festival,2016-11-19 00:00:00.000,2016-11-26 00:00:00.000,Fictitious,Leeds,27799
,Brighton Half Marathon,2010-02-23 00:00:00.000,2010-02-24 00:00:00.000,Fictitious,Brighton,6547
,Brighton Marathon,2010-04-12 00:00:00.000,2010-04-13 00:00:00.000,Fictitious,Brighton,10758
,Great Escape Festival Brighton,2010-05-23 00:00:00.000,2010-05-26 00:00:00.000,Fictitious,Brighton,32380
,Brighton Festival,2010-05-27 00:00:00.000,2010-05-28 00:00:00.000,Fictitious,Brighton,398201
,Brighton Pride,2010-08-23 00:00:00.000,2010-08-28 00:00:00.000,Fictitious,Brighton,145198
,Brighton Food and Drink Festival,2010-09-17 00:00:00.000,2010-09-24 00:00:00.000,Fictitious,Brighton,38909
,Digital Brighton,2010-11-03 00:00:00.000,2010-11-10 00:00:00.000,Fictitious,Brighton,9506
,Brighton Christmas Market,2010-11-10 00:00:00.000,2010-11-17 00:00:00.000,Fictitious,Brighton,141050
,Burning the Clocks Brighton,2010-12-15 00:00:00.000,2010-12-22 00:00:00.000,Fictitious,Brighton,18770
,Snowball Music Festival Brighton,2010-12-20 00:00:00.000,2010-12-23 00:00:00.000,Fictitious,Brighton,7583
,Brighton Half Marathon,2011-02-18 00:00:00.000,2011-02-19 00:00:00.000,Fictitious,Brighton,5294
,Brighton Marathon,2011-04-21 00:00:00.000,2011-04-22 00:00:00.000,Fictitious,Brighton,11542
,Brighton Festival,2011-05-05 00:00:00.000,2011-05-12 00:00:00.000,Fictitious,Brighton,421762
,Great Escape Festival Brighton,2011-05-08 00:00:00.000,2011-05-11 00:00:00.000,Fictitious,Brighton,27133
,Brighton Pride,2011-08-27 00:00:00.000,2011-08-28 00:00:00.000,Fictitious,Brighton,147088
,Brighton Food and Drink Festival,2011-09-09 00:00:00.000,2011-09-16 00:00:00.000,Fictitious,Brighton,35973
,Brighton Christmas Market,2011-11-04 00:00:00.000,2011-11-11 00:00:00.000,Fictitious,Brighton,157966
,Digital Brighton,2011-11-13 00:00:00.000,2011-11-20 00:00:00.000,Fictitious,Brighton,10460
,Snowball Music Festival Brighton,2011-12-04 00:00:00.000,2011-12-07 00:00:00.000,Fictitious,Brighton,8638
,Burning the Clocks Brighton,2011-12-15 00:00:00.000,2011-12-22 00:00:00.000,Fictitious,Brighton,20335
,Brighton Half Marathon,2012-02-07 00:00:00.000,2012-02-08 00:00:00.000,Fictitious,Brighton,5403
,Brighton Marathon,2012-04-28 00:00:00.000,2012-04-28 00:00:00.000,Fictitious,Brighton,11769
,Brighton Festival,2012-05-16 00:00:00.000,2012-05-23 00:00:00.000,Fictitious,Brighton,468301
,Great Escape Festival Brighton,2012-05-25 00:00:00.000,2012-05-28 00:00:00.000,Fictitious,Brighton,28571
,Brighton Pride,2012-08-10 00:00:00.000,2012-08-17 00:00:00.000,Fictitious,Brighton,144950
,Brighton Food and Drink Festival,2012-09-18 00:00:00.000,2012-09-25 00:00:00.000,Fictitious,Brighton,37306
,Digital Brighton,2012-11-10 00:00:00.000,2012-11-17 00:00:00.000,Fictitious,Brighton,10393
,Brighton Christmas Market,2012-11-11 00:00:00.000,2012-11-18 00:00:00.000,Fictitious,Brighton,136303
,Snowball Music Festival Brighton,2012-12-10 00:00:00.000,2012-12-13 00:00:00.000,Fictitious,Brighton,7476
,Burning the Clocks Brighton,2012-12-22 00:00:00.000,2012-12-28 00:00:00.000,Fictitious,Brighton,19419
,Brighton Half Marathon,2013-02-24 00:00:00.000,2013-02-25 00:00:00.000,Fictitious,Brighton,5865
,Brighton Marathon,2013-04-16 00:00:00.000,2013-04-17 00:00:00.000,Fictitious,Brighton,10863
,Brighton Festival,2013-05-19 00:00:00.000,2013-05-26 00:00:00.000,Fictitious,Brighton,498357
,Great Escape Festival Brighton,2013-05-22 00:00:00.000,2013-05-25 00:00:00.000,Fictitious,Brighton,30722
,Brighton Pride,2013-08-01 00:00:00.000,2013-08-08 00:00:00.000,Fictitious,Brighton,176469
,Brighton Food and Drink Festival,2013-09-15 00:00:00.000,2013-09-22 00:00:00.000,Fictitious,Brighton,34458
,Digital Brighton,2013-11-12 00:00:00.000,2013-11-19 00:00:00.000,Fictitious,Brighton,9935
,Brighton Christmas Market,2013-11-18 00:00:00.000,2013-11-25 00:00:00.000,Fictitious,Brighton,166231
,Burning the Clocks Brighton,2013-12-01 00:00:00.000,2013-12-08 00:00:00.000,Fictitious,Brighton,19972
,Snowball Music Festival Brighton,2013-12-06 00:00:00.000,2013-12-09 00:00:00.000,Fictitious,Brighton,7620
,Brighton Half Marathon,2014-02-18 00:00:00.000,2014-02-19 00:00:00.000,Fictitious,Brighton,6371
,Brighton Marathon,2014-04-12 00:00:00.000,2014-04-13 00:00:00.000,Fictitious,Brighton,12390
,Great Escape Festival Brighton,2014-05-04 00:00:00.000,2014-05-07 00:00:00.000,Fictitious,Brighton,32132
,Brighton Festival,2014-05-15 00:00:00.000,2014-05-22 00:00:00.000,Fictitious,Brighton,471542
,Brighton Pride,2014-08-19 00:00:00.000,2014-08-26 00:00:00.000,Fictitious,Brighton,166810
,Brighton Food and Drink Festival,2014-09-24 00:00:00.000,2014-09-28 00:00:00.000,Fictitious,Brighton,35776
,Digital Brighton,2014-11-17 00:00:00.000,2014-11-24 00:00:00.000,Fictitious,Brighton,9625
,Brighton Christmas Market,2014-11-23 00:00:00.000,2014-11-28 00:00:00.000,Fictitious,Brighton,138665
,Burning the Clocks Brighton,2014-12-11 00:00:00.000,2014-12-18 00:00:00.000,Fictitious,Brighton,18472
,Snowball Music Festival Brighton,2014-12-23 00:00:00.000,2014-12-26 00:00:00.000,Fictitious,Brighton,8065
,Brighton Half Marathon,2015-02-23 00:00:00.000,2015-02-24 00:00:00.000,Fictitious,Brighton,5965
,Brighton Marathon,2015-04-27 00:00:00.000,2015-04-28 00:00:00.000,Fictitious,Brighton,11884
,Great Escape Festival Brighton,2015-05-19 00:00:00.000,2015-05-22 00:00:00.000,Fictitious,Brighton,32034
,Brighton Festival,2015-05-25 00:00:00.000,2015-05-28 00:00:00.000,Fictitious,Brighton,435840
,Brighton Pride,2015-08-13 00:00:00.000,2015-08-20 00:00:00.000,Fictitious,Brighton,156031
,Brighton Food and Drink Festival,2015-09-11 00:00:00.000,2015-09-18 00:00:00.000,Fictitious,Brighton,37954
,Brighton Christmas Market,2015-11-07 00:00:00.000,2015-11-14 00:00:00.000,Fictitious,Brighton,158589
,Digital Brighton,2015-11-24 00:00:00.000,2015-11-28 00:00:00.000,Fictitious,Brighton,10120
,Burning the Clocks Brighton,2015-12-07 00:00:00.000,2015-12-14 00:00:00.000,Fictitious,Brighton,19303
,Snowball Music Festival Brighton,2015-12-09 00:00:00.000,2015-12-12 00:00:00.000,Fictitious,Brighton,7127
,Brighton Half Marathon,2016-02-23 00:00:00.000,2016-02-24 00:00:00.000,Fictitious,Brighton,5986
,Brighton Marathon,2016-04-05 00:00:00.000,2016-04-06 00:00:00.000,Fictitious,Brighton,11814
,Great Escape Festival Brighton,2016-05-12 00:00:00.000,2016-05-15 00:00:00.000,Fictitious,Brighton,30235
,Brighton Festival,2016-05-20 00:00:00.000,2016-05-27 00:00:00.000,Fictitious,Brighton,461582
,Brighton Pride,2016-08-23 00:00:00.000,2016-08-28 00:00:00.000,Fictitious,Brighton,148415
,Brighton Food and Drink Festival,2016-09-27 00:00:00.000,2016-09-28 00:00:00.000,Fictitious,Brighton,38650
,Brighton Christmas Market,2016-11-09 00:00:00.000,2016-11-16 00:00:00.000,Fictitious,Brighton,158085
,Digital Brighton,2016-11-12 00:00:00.000,2016-11-19 00:00:00.000,Fictitious,Brighton,10486
,Snowball Music Festival Brighton,2016-12-02 00:00:00.000,2016-12-05 00:00:00.000,Fictitious,Brighton,8102
,Burning the Clocks Brighton,2016-12-09 00:00:00.000,2016-12-16 00:00:00.000,Fictitious,Brighton,19233
,Cambridge Science Festival,2010-03-10 00:00:00.000,2010-03-17 00:00:00.000,Fictitious,Cambridge,26217
,Cambridge Half Marathon,2010-03-21 00:00:00.000,2010-03-22 00:00:00.000,Fictitious,Cambridge,6514
,Cambridge Literary Festival,2010-04-09 00:00:00.000,2010-04-16 00:00:00.000,Fictitious,Cambridge,10783
,Cambridge Beer Festival,2010-05-13 00:00:00.000,2010-05-20 00:00:00.000,Fictitious,Cambridge,44910
