OrderNo,OrderDate,Month,PropertyID,ProductID,ProductCategory,ProductName,Quantity,ProductPrice,OrderTotal
39,01/07/2023,Jan-23,3,19,Housekeeping,Light Bulb,2,17,34
40,01/07/2023,Jan-23,10,27,Office Supplies,Invisible Tape,2,8,16
41,01/07/2023,Jan-23,5,87,Public Areas,End Table,3,30,90
42,01/07/2023,Jan-23,1,19,Housekeeping,Light Bulb,2,17,34
43,01/07/2023,Jan-23,9,23,Office Supplies,Printer Toner,2,85,170
44,01/08/2023,Jan-23,6,28,Office Supplies,Staples,2,8,16
45,01/08/2023,Jan-23,4,47,Furnishings,Swivel Chair,3,75,225
46,01/08/2023,Jan-23,8,58,Furnishings,Mirror,1,85,85
47,01/08/2023,Jan-23,5,13,Housekeeping,Bed Sheet (Double),3,20,60
48,01/08/2023,Jan-23,5,67,Maintenance,Adjustable Wrench,2,10,20
49,01/09/2023,Jan-23,8,51,Furnishings,Painting,3,85,255
50,01/09/2023,Jan-23,5,24,Office Supplies,Envelopes (Letter),2,24,48
51,01/09/2023,Jan-23,4,8,Housekeeping,Bath Soap,3,35,105
52,01/10/2023,Jan-23,6,70,Maintenance,Door Lock,3,117,351
53,01/10/2023,Jan-23,9,41,Furnishings,Office Chair,2,85,170
54,01/10/2023,Jan-23,9,42,Furnishings,Reading Chair,1,70,70
55,01/10/2023,Jan-23,3,93,Public Areas,Terminal,2,85,170
56,01/10/2023,Jan-23,3,42,Furnishings,Reading Chair,2,70,140
57,01/10/2023,Jan-23,1,18,Housekeeping,Coffee Cup,3,24,72
58,01/10/2023,Jan-23,2,59,Maintenance,Screws,1,14,14
59,01/10/2023,Jan-23,7,19,Housekeeping,Light Bulb,2,17,34
60,01/11/2023,Jan-23,1,73,Maintenance,Mop,2,15,30
61,01/11/2023,Jan-23,6,83,Public Areas,Bar Stool,1,60,60
62,01/11/2023,Jan-23,3,74,Public Areas,Large Plant,1,35,35
63,01/11/2023,Jan-23,5,70,Maintenance,Door Lock,2,117,234
64,01/11/2023,Jan-23,6,84,Public Areas,Tall Chair,3,75,225
65,01/11/2023,Jan-23,4,65,Maintenance,Ladder,1,89,89
66,01/12/2023,Jan-23,9,30,Office Supplies,Permanent Markers,1,6,6
67,01/12/2023,Jan-23,10,36,Furnishings,Armoire,1,115,115
68,01/12/2023,Jan-23,1,25,Office Supplies,Envelopes (Legal),3,28,84
69,01/12/2023,Jan-23,7,16,Housekeeping,Mouthwash,3,40,120
70,01/12/2023,Jan-23,2,44,Furnishings,Floor Lamp,1,55,55
71,1/13/23,Jan-23,8,44,Furnishings,Floor Lamp,3,55,165
72,1/13/23,Jan-23,4,72,Maintenance,Nails,1,12,12
73,1/13/23,Jan-23,6,39,Furnishings,Alarm Clock,3,45,135
74,1/13/23,Jan-23,8,85,Public Areas,Low Chair,1,80,80
75,1/13/23,Jan-23,2,75,Public Areas,Small Plant,2,25,50
76,1/14/23,Jan-23,7,60,Maintenance,Portable Drill,1,195,195
77,1/14/23,Jan-23,1,67,Maintenance,Adjustable Wrench,2,10,20
78,1/14/23,Jan-23,10,65,Maintenance,Ladder,1,89,89
79,1/14/23,Jan-23,6,94,Public Areas,Monitor,1,70,70
80,1/14/23,Jan-23,4,44,Furnishings,Floor Lamp,3,55,165
81,1/14/23,Jan-23,6,58,Furnishings,Mirror,1,85,85
82,1/14/23,Jan-23,9,59,Maintenance,Screws,3,14,42
83,1/15/23,Jan-23,3,84,Public Areas,Tall Chair,1,75,75
84,1/15/23,Jan-23,6,16,Housekeeping,Mouthwash,3,40,120
85,1/15/23,Jan-23,2,58,Furnishings,Mirror,3,85,255
86,1/15/23,Jan-23,4,73,Maintenance,Mop,1,15,15
87,1/15/23,Jan-23,9,59,Maintenance,Screws,2,14,28
88,1/15/23,Jan-23,2,84,Public Areas,Tall Chair,3,75,225
89,1/16/23,Jan-23,3,92,Public Areas,Large Sign,3,20,60
90,1/16/23,Jan-23,2,34,Furnishings,Shower Curtain,3,5,15
91,1/16/23,Jan-23,1,64,Maintenance,Gaffer's Tape,2,27,54
92,1/16/23,Jan-23,10,24,Office Supplies,Envelopes (Letter),1,24,24
93,1/16/23,Jan-23,2,31,Office Supplies,Sticky Notes,3,20,60
94,1/16/23,Jan-23,8,73,Maintenance,Mop,1,15,15
95,1/17/23,Jan-23,9,78,Public Areas,Small Area Rug,1,20,20
96,1/17/23,Jan-23,1,16,Housekeeping,Mouthwash,3,40,120
97,1/17/23,Jan-23,4,50,Furnishings,Small Vase,2,33,66
98,1/17/23,Jan-23,6,56,Furnishings,Telephone,2,38,76
99,1/18/23,Jan-23,4,25,Office Supplies,Envelopes (Legal),1,28,28
100,1/18/23,Jan-23,3,90,Public Areas,Luggage Cart,2,138,276
101,1/18/23,Jan-23,3,72,Maintenance,Nails,2,12,24
102,1/18/23,Jan-23,3,39,Furnishings,Alarm Clock,2,45,90
103,1/18/23,Jan-23,5,10,Housekeeping,Toilet Paper,1,19,19
104,1/18/23,Jan-23,5,15,Housekeeping,Drinking Glass,3,24,72
105,1/18/23,Jan-23,3,75,Public Areas,Small Plant,1,25,25
106,1/19/23,Jan-23,8,47,Furnishings,Swivel Chair,2,75,150
107,1/19/23,Jan-23,5,34,Furnishings,Shower Curtain,3,5,15
108,1/20/23,Jan-23,3,10,Housekeeping,Toilet Paper,2,19,38
109,1/20/23,Jan-23,7,79,Public Areas,Coffee Table,2,103,206
110,1/20/23,Jan-23,9,72,Maintenance,Nails,3,12,36
111,1/20/23,Jan-23,5,5,Housekeeping,Moisturizer,2,40,80
112,1/20/23,Jan-23,3,7,Housekeeping,Hand Soap,3,35,105
113,1/21/23,Jan-23,10,22,Office Supplies,Paper Clips,1,3,3
114,1/21/23,Jan-23,1,3,Housekeeping,Washcloth,3,3,9
115,1/21/23,Jan-23,6,45,Furnishings,Computer Desk,3,102,306
116,1/21/23,Jan-23,8,91,Public Areas,Small Sign,1,14,14
117,1/21/23,Jan-23,1,41,Furnishings,Office Chair,2,85,170
118,1/22/23,Jan-23,2,39,Furnishings,Alarm Clock,1,45,45
119,1/22/23,Jan-23,1,56,Furnishings,Telephone,3,38,114
120,1/22/23,Jan-23,4,59,Maintenance,Screws,3,14,42
121,1/22/23,Jan-23,1,67,Maintenance,Adjustable Wrench,3,10,30
122,1/22/23,Jan-23,9,29,Office Supplies,Erasable Markers,3,6,18
123,1/22/23,Jan-23,6,37,Furnishings,Bed (King),2,300,600
124,1/22/23,Jan-23,4,38,Furnishings,Bed (Double),1,250,250
125,1/22/23,Jan-23,5,36,Furnishings,Armoire,3,115,345
126,1/22/23,Jan-23,5,66,Maintenance,Wood Glue,1,21,21
127,1/22/23,Jan-23,8,61,Maintenance,Tape Measure,2,8,16
128,1/23/23,Jan-23,8,2,Housekeeping,Hand Towel,3,5,15
129,1/23/23,Jan-23,7,78,Public Areas,Small Area Rug,1,20,20
130,1/23/23,Jan-23,7,88,Public Areas,Serving Tray,1,6,6
131,1/23/23,Jan-23,4,16,Housekeeping,Mouthwash,1,40,40
132,1/23/23,Jan-23,5,69,Maintenance,Door Knob,3,41,123
133,1/23/23,Jan-23,7,16,Housekeeping,Mouthwash,1,40,40
134,1/23/23,Jan-23,8,68,Maintenance,Window Screen,3,30,90
135,1/23/23,Jan-23,3,69,Maintenance,Door Knob,2,41,82
136,1/23/23,Jan-23,8,73,Maintenance,Mop,1,15,15
137,1/24/23,Jan-23,2,45,Furnishings,Computer Desk,3,102,306
138,1/24/23,Jan-23,8,77,Public Areas,Large Area Rug,2,40,80
139,1/24/23,Jan-23,10,93,Public Areas,Terminal,2,85,170
140,1/24/23,Jan-23,7,50,Furnishings,Small Vase,3,33,99
141,1/24/23,Jan-23,10,14,Housekeeping,Pillowcase,1,15,15
142,1/24/23,Jan-23,1,52,Furnishings,Ironing Board,3,18,54
143,1/24/23,Jan-23,9,6,Housekeeping,Conditioner,3,40,120
144,1/24/23,Jan-23,9,56,Furnishings,Telephone,2,38,76
145,1/24/23,Jan-23,4,37,Furnishings,Bed (King),3,300,900
146,1/25/23,Jan-23,9,90,Public Areas,Luggage Cart,3,138,414
147,1/25/23,Jan-23,4,65,Maintenance,Ladder,1,89,89
148,1/25/23,Jan-23,8,58,Furnishings,Mirror,2,85,170
149,1/25/23,Jan-23,9,24,Office Supplies,Envelopes (Letter),2,24,48
150,1/25/23,Jan-23,7,41,Furnishings,Office Chair,2,85,170
151,1/25/23,Jan-23,6,82,Public Areas,Business Cards,3,60,180
152,1/25/23,Jan-23,8,13,Housekeeping,Bed Sheet (Double),3,20,60
153,1/26/23,Jan-23,3,42,Furnishings,Reading Chair,1,70,70
154,1/26/23,Jan-23,8,90,Public Areas,Luggage Cart,2,138,276
155,1/26/23,Jan-23,2,14,Housekeeping,Pillowcase,1,15,15
156,1/26/23,Jan-23,7,9,Housekeeping,Tissues,1,14,14
157,1/26/23,Jan-23,5,27,Office Supplies,Invisible Tape,2,8,16
158,1/27/23,Jan-23,7,92,Public Areas,Large Sign,2,20,40
159,1/27/23,Jan-23,9,38,Furnishings,Bed (Double),1,250,250
160,1/27/23,Jan-23,6,1,Housekeeping,Large Towel,1,9,9
161,1/27/23,Jan-23,10,67,Maintenance,Adjustable Wrench,2,10,20
162,1/27/23,Jan-23,2,52,Furnishings,Ironing Board,3,18,54
163,1/27/23,Jan-23,9,56,Furnishings,Telephone,2,38,76
164,1/27/23,Jan-23,3,81,Public Areas,Flyer Holder,3,3,9
165,1/27/23,Jan-23,5,72,Maintenance,Nails,2,12,24
166,1/27/23,Jan-23,9,16,Housekeeping,Mouthwash,2,40,80
167,1/28/23,Jan-23,5,51,Furnishings,Painting,2,85,170
168,1/28/23,Jan-23,6,35,Furnishings,Tissue Box,1,25,25
169,1/28/23,Jan-23,10,11,Housekeeping,Shower Cap,3,10,30
170,1/28/23,Jan-23,10,3,Housekeeping,Washcloth,2,3,6
171,1/29/23,Jan-23,4,64,Maintenance,Gaffer's Tape,1,27,27
172,1/29/23,Jan-23,2,6,Housekeeping,Conditioner,2,40,80
173,1/29/23,Jan-23,7,70,Maintenance,Door Lock,1,117,117
174,1/29/23,Jan-23,3,60,Maintenance,Portable Drill,2,195,390
175,1/30/23,Jan-23,8,68,Maintenance,Window Screen,2,30,60
176,1/30/23,Jan-23,7,62,Maintenance,Leaf Blower,1,202,202
177,1/30/23,Jan-23,2,71,Maintenance,Hammer,2,17,34
178,1/30/23,Jan-23,2,54,Furnishings,Chest of Drawers,2,150,300
179,1/30/23,Jan-23,10,58,Furnishings,Mirror,3,85,255
180,1/31/23,Jan-23,6,25,Office Supplies,Envelopes (Legal),2,28,56
181,1/31/23,Jan-23,4,27,Office Supplies,Invisible Tape,3,8,24
182,1/31/23,Jan-23,10,5,Housekeeping,Moisturizer,1,40,40
183,02/01/2023,Feb-23,8,11,Housekeeping,Shower Cap,2,10,20
184,02/01/2023,Feb-23,5,65,Maintenance,Ladder,2,89,178
185,02/02/2023,Feb-23,1,42,Furnishings,Reading Chair,3,70,210
186,02/02/2023,Feb-23,8,2,Housekeeping,Hand Towel,2,5,10
187,02/02/2023,Feb-23,7,53,Furnishings,Iron,1,20,20
188,02/02/2023,Feb-23,4,8,Housekeeping,Bath Soap,1,35,35
189,02/02/2023,Feb-23,2,63,Maintenance,Duct Tape,1,27,27
190,02/02/2023,Feb-23,1,3,Housekeeping,Washcloth,3,3,9
191,02/02/2023,Feb-23,7,75,Public Areas,Small Plant,3,25,75
192,02/02/2023,Feb-23,3,36,Furnishings,Armoire,2,115,230
193,02/03/2023,Feb-23,3,33,Furnishings,Towel Rack,3,10,30
194,02/03/2023,Feb-23,4,58,Furnishings,Mirror,3,85,255
195,02/03/2023,Feb-23,5,39,Furnishings,Alarm Clock,1,45,45
196,02/03/2023,Feb-23,3,54,Furnishings,Chest of Drawers,2,150,300
197,02/03/2023,Feb-23,9,81,Public Areas,Flyer Holder,1,3,3
198,02/03/2023,Feb-23,7,94,Public Areas,Monitor,2,70,140
199,02/04/2023,Feb-23,1,2,Housekeeping,Hand Towel,3,5,15
200,02/04/2023,Feb-23,2,36,Furnishings,Armoire,2,115,230
201,02/04/2023,Feb-23,1,53,Furnishings,Iron,3,20,60
202,02/05/2023,Feb-23,10,22,Office Supplies,Paper Clips,2,3,6
203,02/05/2023,Feb-23,1,6,Housekeeping,Conditioner,3,40,120
204,02/05/2023,Feb-23,3,72,Maintenance,Nails,1,12,12
205,02/05/2023,Feb-23,2,9,Housekeeping,Tissues,1,14,14
206,02/06/2023,Feb-23,8,80,Public Areas,Poster Stand,3,27,81
207,02/06/2023,Feb-23,7,46,Furnishings,Safe,1,115,115
208,02/06/2023,Feb-23,8,71,Maintenance,Hammer,2,17,34
209,02/06/2023,Feb-23,5,30,Office Supplies,Permanent Markers,2,6,12
210,02/07/2023,Feb-23,4,39,Furnishings,Alarm Clock,2,45,90
211,02/08/2023,Feb-23,3,36,Furnishings,Armoire,1,115,115
212,02/08/2023,Feb-23,10,29,Office Supplies,Erasable Markers,1,6,6
213,02/08/2023,Feb-23,9,64,Maintenance,Gaffer's Tape,1,27,27
214,02/08/2023,Feb-23,3,58,Furnishings,Mirror,1,85,85
215,02/08/2023,Feb-23,1,5,Housekeeping,Moisturizer,1,40,40
216,02/08/2023,Feb-23,10,74,Public Areas,Large Plant,3,35,105
217,02/08/2023,Feb-23,7,33,Furnishings,Towel Rack,2,10,20
218,02/09/2023,Feb-23,4,36,Furnishings,Armoire,3,115,345
219,02/09/2023,Feb-23,7,34,Furnishings,Shower Curtain,3,5,15
220,02/09/2023,Feb-23,3,67,Maintenance,Adjustable Wrench,1,10,10
221,02/09/2023,Feb-23,10,93,Public Areas,Terminal,1,85,85
222,02/09/2023,Feb-23,2,69,Maintenance,Door Knob,2,41,82
223,02/09/2023,Feb-23,7,53,Furnishings,Iron,2,20,40
224,02/10/2023,Feb-23,6,40,Furnishings,Coffee Maker,1,119,119
225,02/10/2023,Feb-23,9,15,Housekeeping,Drinking Glass,3,24,72
226,02/10/2023,Feb-23,6,92,Public Areas,Large Sign,1,20,20
227,02/10/2023,Feb-23,6,39,Furnishings,Alarm Clock,1,45,45
228,02/10/2023,Feb-23,6,19,Housekeeping,Light Bulb,2,17,34
229,02/10/2023,Feb-23,5,49,Furnishings,Large Vase,3,27,81
230,02/10/2023,Feb-23,4,50,Furnishings,Small Vase,2,33,66
231,02/10/2023,Feb-23,4,66,Maintenance,Wood Glue,1,21,21
232,02/11/2023,Feb-23,4,30,Office Supplies,Permanent Markers,1,6,6
233,02/11/2023,Feb-23,5,12,Housekeeping,Bed Sheet (King),3,29,87
234,02/11/2023,Feb-23,7,31,Office Supplies,Sticky Notes,1,20,20
235,02/11/2023,Feb-23,1,78,Public Areas,Small Area Rug,3,20,60
236,02/11/2023,Feb-23,9,42,Furnishings,Reading Chair,1,70,70
237,02/11/2023,Feb-23,10,65,Maintenance,Ladder,2,89,178
238,02/11/2023,Feb-23,6,61,Maintenance,Tape Measure,2,8,16
239,02/11/2023,Feb-23,5,89,Public Areas,Photograph,2,45,90
240,02/11/2023,Feb-23,4,47,Furnishings,Swivel Chair,2,75,150
241,02/11/2023,Feb-23,7,38,Furnishings,Bed (Double),2,250,500
242,02/12/2023,Feb-23,2,19,Housekeeping,Light Bulb,2,17,34
243,02/12/2023,Feb-23,2,37,Furnishings,Bed (King),2,300,600
244,02/12/2023,Feb-23,3,55,Furnishings,Television,2,200,400
245,02/12/2023,Feb-23,4,2,Housekeeping,Hand Towel,2,5,10
246,02/12/2023,Feb-23,8,91,Public Areas,Small Sign,1,14,14
247,02/12/2023,Feb-23,10,55,Furnishings,Television,1,200,200
248,02/12/2023,Feb-23,5,55,Furnishings,Television,2,200,400
249,2/13/23,Feb-23,7,49,Furnishings,Large Vase,3,27,81
250,2/13/23,Feb-23,8,81,Public Areas,Flyer Holder,2,3,6
251,2/13/23,Feb-23,10,86,Public Areas,Sofa,2,215,430
252,2/13/23,Feb-23,9,38,Furnishings,Bed (Double),2,250,500
253,2/13/23,Feb-23,2,58,Furnishings,Mirror,3,85,255
254,2/13/23,Feb-23,5,49,Furnishings,Large Vase,1,27,27
255,2/13/23,Feb-23,8,72,Maintenance,Nails,3,12,36
256,2/13/23,Feb-23,9,91,Public Areas,Small Sign,2,14,28
257,2/13/23,Feb-23,2,75,Public Areas,Small Plant,2,25,50
258,2/13/23,Feb-23,1,84,Public Areas,Tall Chair,1,75,75
259,2/14/23,Feb-23,6,51,Furnishings,Painting,3,85,255
260,2/14/23,Feb-23,5,5,Housekeeping,Moisturizer,2,40,80
261,2/14/23,Feb-23,4,44,Furnishings,Floor Lamp,1,55,55
262,2/14/23,Feb-23,10,6,Housekeeping,Conditioner,2,40,80
263,2/14/23,Feb-23,3,61,Maintenance,Tape Measure,2,8,16
264,2/14/23,Feb-23,5,17,Housekeeping,Clothes Hanger,3,18,54
265,2/14/23,Feb-23,7,44,Furnishings,Floor Lamp,2,55,110
266,2/15/23,Feb-23,3,93,Public Areas,Terminal,1,85,85
267,2/15/23,Feb-23,8,21,Office Supplies,Printer Paper,3,50,150
268,2/15/23,Feb-23,6,48,Furnishings,Side Table,2,40,80
269,2/15/23,Feb-23,10,40,Furnishings,Coffee Maker,2,119,238
270,2/15/23,Feb-23,1,9,Housekeeping,Tissues,1,14,14
271,2/15/23,Feb-23,10,12,Housekeeping,Bed Sheet (King),1,29,29
272,2/15/23,Feb-23,8,90,Public Areas,Luggage Cart,3,138,414
273,2/15/23,Feb-23,2,38,Furnishings,Bed (Double),2,250,500
274,2/16/23,Feb-23,9,63,Maintenance,Duct Tape,3,27,81
275,2/16/23,Feb-23,8,51,Furnishings,Painting,2,85,170
276,2/16/23,Feb-23,6,70,Maintenance,Door Lock,3,117,351
277,2/16/23,Feb-23,8,61,Maintenance,Tape Measure,2,8,16
278,2/16/23,Feb-23,2,14,Housekeeping,Pillowcase,1,15,15
279,2/16/23,Feb-23,4,4,Housekeeping,Shampoo,2,40,80
280,2/16/23,Feb-23,10,80,Public Areas,Poster Stand,3,27,81
281,2/16/23,Feb-23,10,33,Furnishings,Towel Rack,1,10,10
282,2/17/23,Feb-23,7,65,Maintenance,Ladder,2,89,178
283,2/17/23,Feb-23,6,35,Furnishings,Tissue Box,3,25,75
284,2/17/23,Feb-23,8,67,Maintenance,Adjustable Wrench,1,10,10
285,2/17/23,Feb-23,4,47,Furnishings,Swivel Chair,2,75,150
286,2/17/23,Feb-23,10,87,Public Areas,End Table,3,30,90
287,2/17/23,Feb-23,9,77,Public Areas,Large Area Rug,1,40,40
288,2/17/23,Feb-23,2,27,Office Supplies,Invisible Tape,3,8,24
289,2/17/23,Feb-23,2,60,Maintenance,Portable Drill,1,195,195
290,2/18/23,Feb-23,5,79,Public Areas,Coffee Table,2,103,206
291,2/18/23,Feb-23,7,4,Housekeeping,Shampoo,3,40,120
292,2/18/23,Feb-23,7,15,Housekeeping,Drinking Glass,2,24,48
293,2/18/23,Feb-23,5,61,Maintenance,Tape Measure,1,8,8
294,2/18/23,Feb-23,5,38,Furnishings,Bed (Double),1,250,250
295,2/19/23,Feb-23,10,75,Public Areas,Small Plant,3,25,75
296,2/19/23,Feb-23,9,34,Furnishings,Shower Curtain,1,5,5
297,2/19/23,Feb-23,3,94,Public Areas,Monitor,1,70,70
298,2/19/23,Feb-23,5,69,Maintenance,Door Knob,3,41,123
299,2/19/23,Feb-23,3,9,Housekeeping,Tissues,2,14,28
300,2/19/23,Feb-23,3,43,Furnishings,Table Lamp,1,38,38
301,2/20/23,Feb-23,8,21,Office Supplies,Printer Paper,3,50,150
302,2/20/23,Feb-23,8,18,Housekeeping,Coffee Cup,1,24,24
303,2/20/23,Feb-23,5,73,Maintenance,Mop,2,15,30
304,2/20/23,Feb-23,2,18,Housekeeping,Coffee Cup,1,24,24
305,2/20/23,Feb-23,8,23,Office Supplies,Printer Toner,1,85,85
306,2/20/23,Feb-23,8,67,Maintenance,Adjustable Wrench,2,10,20
307,2/20/23,Feb-23,1,34,Furnishings,Shower Curtain,1,5,5
308,2/20/23,Feb-23,9,8,Housekeeping,Bath Soap,2,35,70
309,2/20/23,Feb-23,10,84,Public Areas,Tall Chair,3,75,225
310,2/20/23,Feb-23,4,61,Maintenance,Tape Measure,2,8,16
311,2/20/23,Feb-23,10,91,Public Areas,Small Sign,1,14,14
312,2/20/23,Feb-23,5,55,Furnishings,Television,1,200,200
313,2/21/23,Feb-23,8,12,Housekeeping,Bed Sheet (King),1,29,29
314,2/21/23,Feb-23,4,8,Housekeeping,Bath Soap,2,35,70
315,2/21/23,Feb-23,2,63,Maintenance,Duct Tape,3,27,81
316,2/21/23,Feb-23,6,43,Furnishings,Table Lamp,3,38,114
317,2/21/23,Feb-23,8,18,Housekeeping,Coffee Cup,1,24,24
318,2/21/23,Feb-23,5,62,Maintenance,Leaf Blower,3,202,606
319,2/21/23,Feb-23,7,14,Housekeeping,Pillowcase,2,15,30
320,2/21/23,Feb-23,7,36,Furnishings,Armoire,3,115,345
321,2/21/23,Feb-23,9,29,Office Supplies,Erasable Markers,3,6,18
322,2/21/23,Feb-23,4,8,Housekeeping,Bath Soap,2,35,70
323,2/21/23,Feb-23,3,18,Housekeeping,Coffee Cup,1,24,24
324,2/22/23,Feb-23,2,69,Maintenance,Door Knob,1,41,41
325,2/22/23,Feb-23,10,42,Furnishings,Reading Chair,1,70,70
326,2/22/23,Feb-23,5,84,Public Areas,Tall Chair,1,75,75
327,2/22/23,Feb-23,8,85,Public Areas,Low Chair,2,80,160
328,2/22/23,Feb-23,2,24,Office Supplies,Envelopes (Letter),1,24,24
329,2/22/23,Feb-23,7,81,Public Areas,Flyer Holder,1,3,3
330,2/22/23,Feb-23,10,54,Furnishings,Chest of Drawers,3,150,450
331,2/22/23,Feb-23,8,5,Housekeeping,Moisturizer,1,40,40
332,2/23/23,Feb-23,2,3,Housekeeping,Washcloth,1,3,3
333,2/23/23,Feb-23,5,39,Furnishings,Alarm Clock,1,45,45
334,2/23/23,Feb-23,6,34,Furnishings,Shower Curtain,1,5,5
335,2/23/23,Feb-23,5,76,Public Areas,Ficus,2,80,160
336,2/24/23,Feb-23,6,28,Office Supplies,Staples,3,8,24
337,2/24/23,Feb-23,1,61,Maintenance,Tape Measure,1,8,8
338,2/24/23,Feb-23,3,42,Furnishings,Reading Chair,1,70,70
339,2/24/23,Feb-23,9,46,Furnishings,Safe,1,115,115
340,2/24/23,Feb-23,6,24,Office Supplies,Envelopes (Letter),3,24,72
341,2/24/23,Feb-23,7,72,Maintenance,Nails,2,12,24
342,2/24/23,Feb-23,2,21,Office Supplies,Printer Paper,3,50,150
343,2/24/23,Feb-23,2,88,Public Areas,Serving Tray,2,6,12
344,2/24/23,Feb-23,10,25,Office Supplies,Envelopes (Legal),1,28,28
345,2/24/23,Feb-23,6,2,Housekeeping,Hand Towel,2,5,10
346,2/24/23,Feb-23,4,16,Housekeeping,Mouthwash,3,40,120
347,2/24/23,Feb-23,5,61,Maintenance,Tape Measure,3,8,24
348,2/25/23,Feb-23,3,89,Public Areas,Photograph,2,45,90
349,2/25/23,Feb-23,7,38,Furnishings,Bed (Double),3,250,750
350,2/25/23,Feb-23,6,3,Housekeeping,Washcloth,1,3,3
351,2/25/23,Feb-23,7,64,Maintenance,Gaffer's Tape,2,27,54
352,2/26/23,Feb-23,9,67,Maintenance,Adjustable Wrench,2,10,20
353,2/26/23,Feb-23,6,27,Office Supplies,Invisible Tape,3,8,24
354,2/26/23,Feb-23,9,17,Housekeeping,Clothes Hanger,3,18,54
355,2/26/23,Feb-23,4,63,Maintenance,Duct Tape,2,27,54
356,2/26/23,Feb-23,10,52,Furnishings,Ironing Board,2,18,36
357,2/27/23,Feb-23,6,9,Housekeeping,Tissues,1,14,14
358,2/27/23,Feb-23,5,41,Furnishings,Office Chair,3,85,255
359,2/27/23,Feb-23,2,4,Housekeeping,Shampoo,3,40,120
360,2/27/23,Feb-23,9,65,Maintenance,Ladder,2,89,178
361,2/27/23,Feb-23,6,90,Public Areas,Luggage Cart,1,138,138
362,2/27/23,Feb-23,8,70,Maintenance,Door Lock,1,117,117
363,2/27/23,Feb-23,10,47,Furnishings,Swivel Chair,1,75,75
364,2/27/23,Feb-23,9,87,Public Areas,End Table,1,30,30
365,2/27/23,Feb-23,5,45,Furnishings,Computer Desk,3,102,306
366,2/27/23,Feb-23,6,7,Housekeeping,Hand Soap,1,35,35
367,2/27/23,Feb-23,10,33,Furnishings,Towel Rack,3,10,30
368,2/27/23,Feb-23,10,62,Maintenance,Leaf Blower,3,202,606
369,2/28/23,Feb-23,8,16,Housekeeping,Mouthwash,1,40,40
370,2/28/23,Feb-23,4,64,Maintenance,Gaffer's Tape,2,27,54
371,2/28/23,Feb-23,7,74,Public Areas,Large Plant,1,35,35
