DateKey,HotelKey,ExpenseCategoryKey,ManagerKey,MonthlyAmountGBP,AnnualAmountGBP
20090201,10,1,-1,5298.39,69419
20090301,10,1,-1,5217.95,69419
20090401,10,1,-1,5807.67,69419
20090501,10,1,-1,5343.56,69419
20090601,10,1,-1,7384.51,69419
20090701,10,1,-1,7805.46,69419
20090801,10,1,-1,6267.83,69419
20090901,10,1,-1,8836.27,69419
20091001,10,1,-1,6413.52,69419
20091101,10,1,-1,3842.55,69419
20091201,10,1,-1,3406.45,69419
20090101,10,11,-1,1517.9,27767
20090201,10,11,-1,2119.31,27767
20090301,10,11,-1,2087.14,27767
20090401,10,11,-1,2323.02,27767
20090501,10,11,-1,2137.38,27767
20090601,10,11,-1,2953.74,27767
20090701,10,11,-1,3122.12,27767
20090801,10,11,-1,2507.08,27767
20090901,10,11,-1,3534.43,27767
20091001,10,11,-1,2565.35,27767
20091101,10,11,-1,1536.99,27767
20091201,10,11,-1,1362.55,27767
20090101,10,10,-1,15179.29,277675
20090201,10,10,-1,21193.49,277675
20090301,10,10,-1,20871.74,277675
20090401,10,10,-1,23230.61,277675
20090501,10,10,-1,21374.15,277675
20090601,10,10,-1,29537.94,277675
20090701,10,10,-1,31221.73,277675
20090801,10,10,-1,25071.24,277675
20090901,10,10,-1,35344.96,277675
20091001,10,10,-1,25653.97,277675
20091101,10,10,-1,15370.14,277675
20091201,10,10,-1,13625.73,277675
20090101,10,7,-1,1517.9,27767
20090201,10,7,-1,2119.31,27767
20090301,10,7,-1,2087.14,27767
20090401,10,7,-1,2323.02,27767
20090501,10,7,-1,2137.38,27767
20090601,10,7,-1,2953.74,27767
20090701,10,7,-1,3122.12,27767
20090801,10,7,-1,2507.08,27767
20090901,10,7,-1,3534.43,27767
20091001,10,7,-1,2565.35,27767
20091101,10,7,-1,1536.99,27767
20091201,10,7,-1,1362.55,27767
20100101,10,8,-1,39929.07,645961
20100201,10,8,-1,50440.73,645961
20100301,10,8,-1,52908.89,645961
20100401,10,8,-1,50985.81,645961
20100501,10,8,-1,58645.07,645961
20100601,10,8,-1,57084.17,645961
20100701,10,8,-1,67808,645961
20100801,10,8,-1,65032.41,645961
20100901,10,8,-1,67190.49,645961
20101001,10,8,-1,59392.44,645961
20101101,10,8,-1,48746.36,645961
20101201,10,8,-1,27797.56,645961
20100101,10,6,-1,7985.8,129192
20100201,10,6,-1,10088.13,129192
20100301,10,6,-1,10581.76,129192
20100401,10,6,-1,10197.15,129192
20100501,10,6,-1,11729,129192
20100601,10,6,-1,11416.82,129192
20100701,10,6,-1,13561.58,129192
20100801,10,6,-1,13006.46,129192
20100901,10,6,-1,13438.08,129192
20101001,10,6,-1,11878.47,129192
20101101,10,6,-1,9749.26,129192
20101201,10,6,-1,5559.5,129192
20100101,10,3,-1,7098.53,114838
20100201,10,3,-1,8967.28,114838
20100301,10,3,-1,9406.07,114838
20100401,10,3,-1,9064.18,114838
20100501,10,3,-1,10425.83,114838
20100601,10,3,-1,10148.34,114838
20100701,10,3,-1,12054.81,114838
20100801,10,3,-1,11561.37,114838
20100901,10,3,-1,11945.03,114838
20101001,10,3,-1,10558.7,114838
20101101,10,3,-1,8666.06,114838
20101201,10,3,-1,4941.81,114838
20100101,10,5,-1,1774.6,28709
20100201,10,5,-1,2241.78,28709
20100301,10,5,-1,2351.48,28709
20100401,10,5,-1,2266.01,28709
20100501,10,5,-1,2606.41,28709
20100601,10,5,-1,2537.04,28709
20100701,10,5,-1,3013.65,28709
20100801,10,5,-1,2890.29,28709
20100901,10,5,-1,2986.2,28709
20101001,10,5,-1,2639.63,28709
20101101,10,5,-1,2166.48,28709
20101201,10,5,-1,1235.43,28709
20100101,10,9,-1,3549.27,57419
20100201,10,9,-1,4483.64,57419
20100301,10,9,-1,4703.03,57419
20100401,10,9,-1,4532.09,57419
20100501,10,9,-1,5212.92,57419
20100601,10,9,-1,5074.17,57419
20100701,10,9,-1,6027.4,57419
20100801,10,9,-1,5780.68,57419
20100901,10,9,-1,5972.51,57419
20101001,10,9,-1,5279.35,57419
20101101,10,9,-1,4333.03,57419
20101201,10,9,-1,2470.91,57419
20100101,10,2,-1,887.33,14355
20100201,10,2,-1,1120.93,14355
20100301,10,2,-1,1175.78,14355
20100401,10,2,-1,1133.04,14355
20100501,10,2,-1,1303.25,14355
20100601,10,2,-1,1268.56,14355
20100701,10,2,-1,1506.88,14355
20100801,10,2,-1,1445.2,14355
20100901,10,2,-1,1493.15,14355
20101001,10,2,-1,1319.86,14355
20101101,10,2,-1,1083.28,14355
20101201,10,2,-1,617.74,14355
20100101,10,4,-1,1774.6,28709
20100201,10,4,-1,2241.78,28709
20100301,10,4,-1,2351.48,28709
20100401,10,4,-1,2266.01,28709
20100501,10,4,-1,2606.41,28709
20100601,10,4,-1,2537.04,28709
20100701,10,4,-1,3013.65,28709
20100801,10,4,-1,2890.29,28709
20100901,10,4,-1,2986.2,28709
20101001,10,4,-1,2639.63,28709
20101101,10,4,-1,2166.48,28709
20101201,10,4,-1,1235.43,28709
20100101,10,1,-1,4436.54,71773
20100201,10,1,-1,5604.49,71773
20100301,10,1,-1,5878.73,71773
20100401,10,1,-1,5665.05,71773
20100501,10,1,-1,6516.08,71773
20100601,10,1,-1,6342.65,71773
20100701,10,1,-1,7534.18,71773
20100801,10,1,-1,7225.78,71773
20100901,10,1,-1,7465.56,71773
20101001,10,1,-1,6599.12,71773
20101101,10,1,-1,5416.23,71773
20101201,10,1,-1,3088.6,71773
20100101,10,11,-1,1774.6,28709
20100201,10,11,-1,2241.78,28709
20100301,10,11,-1,2351.48,28709
20100401,10,11,-1,2266.01,28709
20100501,10,11,-1,2606.41,28709
20100601,10,11,-1,2537.04,28709
20100701,10,11,-1,3013.65,28709
20100801,10,11,-1,2890.29,28709
20100901,10,11,-1,2986.2,28709
20101001,10,11,-1,2639.63,28709
20101101,10,11,-1,2166.48,28709
20101201,10,11,-1,1235.43,28709
20100101,10,10,-1,17746.27,287094
20100201,10,10,-1,22418.12,287094
20100301,10,10,-1,23515.08,287094
20100401,10,10,-1,22660.38,287094
20100501,10,10,-1,26064.5,287094
20100601,10,10,-1,25370.76,287094
20100701,10,10,-1,30136.91,287094
20100801,10,10,-1,28903.32,287094
20100901,10,10,-1,29862.46,287094
20101001,10,10,-1,26396.66,287094
20101101,10,10,-1,21665.07,287094
20101201,10,10,-1,12354.48,287094
20100101,10,7,-1,1774.6,28709
20100201,10,7,-1,2241.78,28709
20100301,10,7,-1,2351.48,28709
20100401,10,7,-1,2266.01,28709
20100501,10,7,-1,2606.41,28709
20100601,10,7,-1,2537.04,28709
20100701,10,7,-1,3013.65,28709
20100801,10,7,-1,2890.29,28709
20100901,10,7,-1,2986.2,28709
20101001,10,7,-1,2639.63,28709
20101101,10,7,-1,2166.48,28709
20101201,10,7,-1,1235.43,28709
20110101,10,8,-1,28918.02,642013
20110201,10,8,-1,41614.48,642013
20110301,10,8,-1,62105.34,642013
20110401,10,8,-1,51886.52,642013
20110501,10,8,-1,65042.1,642013
20110601,10,8,-1,65594.44,642013
20110701,10,8,-1,69493.24,642013
20110801,10,8,-1,58033.9,642013
20110901,10,8,-1,65443.2,642013
20111001,10,8,-1,56900.01,642013
20111101,10,8,-1,49913.21,642013
20111201,10,8,-1,27068.55,642013
20110101,10,6,-1,5783.62,128403
20110201,10,6,-1,8322.92,128403
20110301,10,6,-1,12421.11,128403
20110401,10,6,-1,10377.34,128403
20110501,10,6,-1,13008.46,128403
20110601,10,6,-1,13118.93,128403
20110701,10,6,-1,13898.69,128403
20110801,10,6,-1,11606.82,128403
20110901,10,6,-1,13088.68,128403
20111001,10,6,-1,11380.04,128403
20111101,10,6,-1,9982.67,128403
20111201,10,6,-1,5413.73,128403
20110101,10,3,-1,5141,114136
20110201,10,3,-1,7398.15,114136
20110301,10,3,-1,11040.98,114136
20110401,10,3,-1,9224.3,114136
20110501,10,3,-1,11563.08,114136
20110601,10,3,-1,11661.27,114136
20110701,10,3,-1,12354.39,114136
20110801,10,3,-1,10317.17,114136
20110901,10,3,-1,11634.38,114136
20111001,10,3,-1,10115.59,114136
20111101,10,3,-1,8873.49,114136
20111201,10,3,-1,4812.2,114136
20110101,10,5,-1,1285.25,28534
20110201,10,5,-1,1849.54,28534
20110301,10,5,-1,2760.25,28534
20110401,10,5,-1,2306.07,28534
20110501,10,5,-1,2890.77,28534
20110601,10,5,-1,2915.32,28534
20110701,10,5,-1,3088.6,28534
20110801,10,5,-1,2579.29,28534
20110901,10,5,-1,2908.6,28534
20111001,10,5,-1,2528.9,28534
20111101,10,5,-1,2218.37,28534
20111201,10,5,-1,1203.05,28534
20110101,10,9,-1,2570.5,57068
20110201,10,9,-1,3699.08,57068
20110301,10,9,-1,5520.49,57068
20110401,10,9,-1,4612.15,57068
20110501,10,9,-1,5781.54,57068
20110601,10,9,-1,5830.63,57068
20110701,10,9,-1,6177.2,57068
20110801,10,9,-1,5158.58,57068
20110901,10,9,-1,5817.19,57068
20111001,10,9,-1,5057.79,57068
20111101,10,9,-1,4436.74,57068
20111201,10,9,-1,2406.1,57068
20110101,10,2,-1,642.62,14267
20110201,10,2,-1,924.77,14267
20110301,10,2,-1,1380.12,14267
20110401,10,2,-1,1153.04,14267
20110501,10,2,-1,1445.38,14267
20110601,10,2,-1,1457.66,14267
20110701,10,2,-1,1544.3,14267
20110801,10,2,-1,1289.65,14267
20110901,10,2,-1,1454.3,14267
20111001,10,2,-1,1264.45,14267
20111101,10,2,-1,1109.19,14267
20111201,10,2,-1,601.53,14267
20110101,10,4,-1,1285.25,28534
20110201,10,4,-1,1849.54,28534
20110301,10,4,-1,2760.25,28534
20110401,10,4,-1,2306.07,28534
20110501,10,4,-1,2890.77,28534
20110601,10,4,-1,2915.32,28534
20110701,10,4,-1,3088.6,28534
20110801,10,4,-1,2579.29,28534
20110901,10,4,-1,2908.6,28534
20111001,10,4,-1,2528.9,28534
20111101,10,4,-1,2218.37,28534
20111201,10,4,-1,1203.05,28534
20110101,10,1,-1,3213.12,71335
20110201,10,1,-1,4623.85,71335
20110301,10,1,-1,6900.62,71335
20110401,10,1,-1,5765.19,71335
20110501,10,1,-1,7226.92,71335
20110601,10,1,-1,7288.29,71335
20110701,10,1,-1,7721.49,71335
20110801,10,1,-1,6448.23,71335
20110901,10,1,-1,7271.49,71335
20111001,10,1,-1,6322.24,71335
20111101,10,1,-1,5545.93,71335
20111201,10,1,-1,3007.63,71335
20110101,10,11,-1,1285.25,28534
20110201,10,11,-1,1849.54,28534
20110301,10,11,-1,2760.25,28534
20110401,10,11,-1,2306.07,28534
20110501,10,11,-1,2890.77,28534
20110601,10,11,-1,2915.32,28534
20110701,10,11,-1,3088.6,28534
20110801,10,11,-1,2579.29,28534
20110901,10,11,-1,2908.6,28534
20111001,10,11,-1,2528.9,28534
20111101,10,11,-1,2218.37,28534
20111201,10,11,-1,1203.05,28534
20110101,10,10,-1,12852.45,285339
20110201,10,10,-1,18495.32,285339
20110301,10,10,-1,27602.36,285339
20110401,10,10,-1,23060.67,285339
20110501,10,10,-1,28907.59,285339
20110601,10,10,-1,29153.07,285339
20110701,10,10,-1,30885.87,285339
20110801,10,10,-1,25792.83,285339
20110901,10,10,-1,29085.85,285339
20111001,10,10,-1,25288.88,285339
20111101,10,10,-1,22183.64,285339
20111201,10,10,-1,12030.46,285339
20110101,10,7,-1,1285.25,28534
20110201,10,7,-1,1849.54,28534
20110301,10,7,-1,2760.25,28534
20110401,10,7,-1,2306.07,28534
20110501,10,7,-1,2890.77,28534
20110601,10,7,-1,2915.32,28534
20110701,10,7,-1,3088.6,28534
20110801,10,7,-1,2579.29,28534
20110901,10,7,-1,2908.6,28534
20111001,10,7,-1,2528.9,28534
20111101,10,7,-1,2218.37,28534
20111201,10,7,-1,1203.05,28534
20120101,10,8,-1,34225.31,645801
20120201,10,8,-1,48004.48,645801
20120301,10,8,-1,59654.85,645801
20120401,10,8,-1,58902.96,645801
20120501,10,8,-1,53723.04,645801
20120601,10,8,-1,63352.32,645801
20120701,10,8,-1,72024.74,645801
20120801,10,8,-1,68669.93,645801
20120901,10,8,-1,58500.91,645801
20121001,10,8,-1,52398.14,645801
20121101,10,8,-1,45372.33,645801
20121201,10,8,-1,30971.98,645801
20120101,10,6,-1,6845.05,129160
20120201,10,6,-1,9600.88,129160
20120301,10,6,-1,11930.95,129160
20120401,10,6,-1,11780.57,129160
20120501,10,6,-1,10744.59,129160
20120601,10,6,-1,12670.44,129160
20120701,10,6,-1,14404.93,129160
20120801,10,6,-1,13733.97,129160
20120901,10,6,-1,11700.16,129160
20121001,10,6,-1,10479.61,129160
20121101,10,6,-1,9074.45,129160
20121201,10,6,-1,6194.39,129160
20120101,10,3,-1,6084.5,114809
20120201,10,3,-1,8534.13,114809
20120301,10,3,-1,10605.3,114809
20120401,10,3,-1,10471.63,114809
20120501,10,3,-1,9550.76,114809
20120601,10,3,-1,11262.63,114809
20120701,10,3,-1,12804.39,114809
20120801,10,3,-1,12207.98,114809
20120901,10,3,-1,10400.16,114809
20121001,10,3,-1,9315.22,114809
20121101,10,3,-1,8066.19,114809
20121201,10,3,-1,5506.13,114809
20120101,10,5,-1,1521.11,28702
20120201,10,5,-1,2133.51,28702
20120301,10,5,-1,2651.3,28702
20120401,10,5,-1,2617.89,28702
20120501,10,5,-1,2387.67,28702
20120601,10,5,-1,2815.63,28702
20120701,10,5,-1,3201.07,28702
20120801,10,5,-1,3051.97,28702
20120901,10,5,-1,2600.02,28702
20121001,10,5,-1,2328.78,28702
20121101,10,5,-1,2016.53,28702
20121201,10,5,-1,1376.52,28702
20120101,10,9,-1,3042.27,57405
20120201,10,9,-1,4267.1,57405
20120301,10,9,-1,5302.7,57405
20120401,10,9,-1,5235.86,57405
20120501,10,9,-1,4775.42,57405
20120601,10,9,-1,5631.36,57405
20120701,10,9,-1,6402.25,57405
20120801,10,9,-1,6104.04,57405
20120901,10,9,-1,5200.12,57405
20121001,10,9,-1,4657.65,57405
20121101,10,9,-1,4033.13,57405
20121201,10,9,-1,2753.09,57405
20120101,10,2,-1,760.56,14351
20120201,10,2,-1,1066.76,14351
20120301,10,2,-1,1325.65,14351
20120401,10,2,-1,1308.94,14351
20120501,10,2,-1,1193.83,14351
20120601,10,2,-1,1407.82,14351
20120701,10,2,-1,1600.53,14351
20120801,10,2,-1,1525.98,14351
20120901,10,2,-1,1300.01,14351
20121001,10,2,-1,1164.39,14351
20121101,10,2,-1,1008.26,14351
20121201,10,2,-1,688.26,14351
20120101,10,4,-1,1521.11,28702
20120201,10,4,-1,2133.51,28702
20120301,10,4,-1,2651.3,28702
20120401,10,4,-1,2617.89,28702
20120501,10,4,-1,2387.67,28702
20120601,10,4,-1,2815.63,28702
20120701,10,4,-1,3201.07,28702
20120801,10,4,-1,3051.97,28702
20120901,10,4,-1,2600.02,28702
20121001,10,4,-1,2328.78,28702
20121101,10,4,-1,2016.53,28702
20121201,10,4,-1,1376.52,28702
20120101,10,1,-1,3802.83,71756
20120201,10,1,-1,5333.86,71756
20120301,10,1,-1,6628.35,71756
20120401,10,1,-1,6544.8,71756
20120501,10,1,-1,5969.25,71756
20120601,10,1,-1,7039.18,71756
20120701,10,1,-1,8002.79,71756
20120801,10,1,-1,7630.03,71756
20120901,10,1,-1,6500.13,71756
20121001,10,1,-1,5822.04,71756
20121101,10,1,-1,5041.39,71756
20121201,10,1,-1,3441.35,71756
20120101,10,11,-1,1521.11,28702
20120201,10,11,-1,2133.51,28702
20120301,10,11,-1,2651.3,28702
20120401,10,11,-1,2617.89,28702
20120501,10,11,-1,2387.67,28702
20120601,10,11,-1,2815.63,28702
20120701,10,11,-1,3201.07,28702
20120801,10,11,-1,3051.97,28702
20120901,10,11,-1,2600.02,28702
20121001,10,11,-1,2328.78,28702
20121101,10,11,-1,2016.53,28702
20121201,10,11,-1,1376.52,28702
20120101,10,10,-1,15211.27,287023
20120201,10,10,-1,21335.35,287023
20120301,10,10,-1,26513.3,287023
20120401,10,10,-1,26179.12,287023
20120501,10,10,-1,23876.93,287023
20120601,10,10,-1,28156.62,287023
20120701,10,10,-1,32011.03,287023
20120801,10,10,-1,30520.01,287023
20120901,10,10,-1,26000.44,287023
20121001,10,10,-1,23288.09,287023
20121101,10,10,-1,20165.5,287023
20121201,10,10,-1,13765.34,287023
20120101,10,7,-1,1521.11,28702
20120201,10,7,-1,2133.51,28702
20120301,10,7,-1,2651.3,28702
20120401,10,7,-1,2617.89,28702
20120501,10,7,-1,2387.67,28702
20120601,10,7,-1,2815.63,28702
20120701,10,7,-1,3201.07,28702
20120801,10,7,-1,3051.97,28702
20120901,10,7,-1,2600.02,28702
20121001,10,7,-1,2328.78,28702
20121101,10,7,-1,2016.53,28702
20121201,10,7,-1,1376.52,28702
20130101,10,8,-1,39377.79,647001
20130201,10,8,-1,51649.53,647001
20130301,10,8,-1,51434.83,647001
20130401,10,8,-1,53318.09,647001
20130501,10,8,-1,49051.41,647001
20130601,10,8,-1,65763.84,647001
20130701,10,8,-1,67700.35,647001
20130801,10,8,-1,69211.64,647001
20130901,10,8,-1,59421.44,647001
20131001,10,8,-1,54757.5,647001
20131101,10,8,-1,48032.28,647001
20131201,10,8,-1,37282.29,647001
20130101,10,6,-1,7875.55,129400
20130201,10,6,-1,10329.89,129400
20130301,10,6,-1,10286.95,129400
20130401,10,6,-1,10663.6,129400
20130501,10,6,-1,9810.27,129400
20130601,10,6,-1,13152.75,129400
20130701,10,6,-1,13540.05,129400
20130801,10,6,-1,13842.31,129400
20130901,10,6,-1,11884.27,129400
20131001,10,6,-1,10951.48,129400
20131101,10,6,-1,9606.44,129400
20131201,10,6,-1,7456.45,129400
20130101,10,3,-1,7000.47,115022
20130201,10,3,-1,9182.11,115022
20130301,10,3,-1,9143.94,115022
20130401,10,3,-1,9478.74,115022
20130501,10,3,-1,8720.22,115022
20130601,10,3,-1,11691.31,115022
20130701,10,3,-1,12035.58,115022
20130801,10,3,-1,12304.25,115022
20130901,10,3,-1,10563.78,115022
20131001,10,3,-1,9734.63,115022
20131101,10,3,-1,8539.04,115022
20131201,10,3,-1,6627.94,115022
20130101,10,5,-1,1750.15,28756
20130201,10,5,-1,2295.57,28756
20130301,10,5,-1,2286.02,28756
20130401,10,5,-1,2369.73,28756
20130501,10,5,-1,2180.09,28756
20130601,10,5,-1,2922.88,28756
20130701,10,5,-1,3008.95,28756
20130801,10,5,-1,3076.12,28756
20130901,10,5,-1,2640.99,28756
20131001,10,5,-1,2433.7,28756
20131101,10,5,-1,2134.8,28756
20131201,10,5,-1,1657.01,28756
20130101,10,9,-1,3500.24,57511
20130201,10,9,-1,4591.05,57511
20130301,10,9,-1,4571.97,57511
20130401,10,9,-1,4739.37,57511
20130501,10,9,-1,4360.11,57511
20130601,10,9,-1,5845.65,57511
20130701,10,9,-1,6017.79,57511
20130801,10,9,-1,6152.12,57511
20130901,10,9,-1,5281.89,57511
20131001,10,9,-1,4867.32,57511
20131101,10,9,-1,4269.52,57511
20131201,10,9,-1,3313.97,57511
20130101,10,2,-1,875.07,14378
20130201,10,2,-1,1147.78,14378
20130301,10,2,-1,1143.01,14378
20130401,10,2,-1,1184.86,14378
20130501,10,2,-1,1090.05,14378
20130601,10,2,-1,1461.44,14378
20130701,10,2,-1,1504.47,14378
20130801,10,2,-1,1538.06,14378
20130901,10,2,-1,1320.49,14378
20131001,10,2,-1,1216.85,14378
20131101,10,2,-1,1067.4,14378
20131201,10,2,-1,828.51,14378
20130101,10,4,-1,1750.15,28756
20130201,10,4,-1,2295.57,28756
20130301,10,4,-1,2286.02,28756
20130401,10,4,-1,2369.73,28756
20130501,10,4,-1,2180.09,28756
20130601,10,4,-1,2922.88,28756
20130701,10,4,-1,3008.95,28756
20130801,10,4,-1,3076.12,28756
20130901,10,4,-1,2640.99,28756
20131001,10,4,-1,2433.7,28756
20131101,10,4,-1,2134.8,28756
20131201,10,4,-1,1657.01,28756
20130101,10,1,-1,4375.31,71889
20130201,10,1,-1,5738.84,71889
20130301,10,1,-1,5714.98,71889
20130401,10,1,-1,5924.23,71889
20130501,10,1,-1,5450.16,71889
20130601,10,1,-1,7307.09,71889
20130701,10,1,-1,7522.26,71889
20130801,10,1,-1,7690.18,71889
20130901,10,1,-1,6602.38,71889
20131001,10,1,-1,6084.17,71889
20131101,10,1,-1,5336.92,71889
20131201,10,1,-1,4142.48,71889
20130101,10,11,-1,1750.15,28756
20130201,10,11,-1,2295.57,28756
20130301,10,11,-1,2286.02,28756
20130401,10,11,-1,2369.73,28756
20130501,10,11,-1,2180.09,28756
20130601,10,11,-1,2922.88,28756
20130701,10,11,-1,3008.95,28756
20130801,10,11,-1,3076.12,28756
20130901,10,11,-1,2640.99,28756
20131001,10,11,-1,2433.7,28756
20131101,10,11,-1,2134.8,28756
20131201,10,11,-1,1657.01,28756
20130101,10,10,-1,17501.24,287556
20130201,10,10,-1,22955.35,287556
20130301,10,10,-1,22859.92,287556
20130401,10,10,-1,23696.93,287556
20130501,10,10,-1,21800.63,287556
20130601,10,10,-1,29228.37,287556
20130701,10,10,-1,30089.05,287556
20130801,10,10,-1,30760.73,287556
20130901,10,10,-1,26409.53,287556
20131001,10,10,-1,24336.67,287556
20131101,10,10,-1,21347.68,287556
20131201,10,10,-1,16569.91,287556
20130101,10,7,-1,1750.15,28756
20130201,10,7,-1,2295.57,28756
20130301,10,7,-1,2286.02,28756
20130401,10,7,-1,2369.73,28756
20130501,10,7,-1,2180.09,28756
20130601,10,7,-1,2922.88,28756
20130701,10,7,-1,3008.95,28756
20130801,10,7,-1,3076.12,28756
20130901,10,7,-1,2640.99,28756
20131001,10,7,-1,2433.7,28756
20131101,10,7,-1,2134.8,28756
20131201,10,7,-1,1657.01,28756
20140101,10,8,-1,34773,649939
20140201,10,8,-1,57195.3,649939
20140301,10,8,-1,47129.8,649939
20140401,10,8,-1,52681.51,649939
20140501,10,8,-1,58106.04,649939
20140601,10,8,-1,52764.66,649939
20140701,10,8,-1,71614.97,649939
20140801,10,8,-1,63051.31,649939
20140901,10,8,-1,66768.97,649939
20141001,10,8,-1,62198.37,649939
20141101,10,8,-1,48133.52,649939
20141201,10,8,-1,35521.56,649939
20140101,10,6,-1,6954.61,129988
20140201,10,6,-1,11439.08,129988
20140301,10,6,-1,9425.97,129988
20140401,10,6,-1,10536.32,129988
20140501,10,6,-1,11621.23,129988
20140601,10,6,-1,10552.95,129988
20140701,10,6,-1,14323.02,129988
20140801,10,6,-1,12610.28,129988
20140901,10,6,-1,13353.81,129988
20141001,10,6,-1,12439.69,129988
20141101,10,6,-1,9626.72,129988
20141201,10,6,-1,7104.32,129988
20140101,10,3,-1,6181.88,115545
20140201,10,3,-1,10168.08,115545
20140301,10,3,-1,8378.65,115545
20140401,10,3,-1,9365.63,115545
20140501,10,3,-1,10329.99,115545
20140601,10,3,-1,9380.41,115545
20140701,10,3,-1,12731.58,115545
20140801,10,3,-1,11209.15,115545
20140901,10,3,-1,11870.07,115545
20141001,10,3,-1,11057.52,115545
20141101,10,3,-1,8557.09,115545
20141201,10,3,-1,6314.96,115545
20140101,10,5,-1,1545.46,28886
20140201,10,5,-1,2542,28886
20140301,10,5,-1,2094.64,28886
20140401,10,5,-1,2341.39,28886
20140501,10,5,-1,2582.47,28886
20140601,10,5,-1,2345.08,28886
20140701,10,5,-1,3182.87,28886
20140801,10,5,-1,2802.26,28886
20140901,10,5,-1,2967.49,28886
20141001,10,5,-1,2764.35,28886
20141101,10,5,-1,2139.25,28886
20141201,10,5,-1,1578.73,28886
20140101,10,9,-1,3090.91,57772
20140201,10,9,-1,5084,57772
20140301,10,9,-1,4189.29,57772
20140401,10,9,-1,4682.77,57772
20140501,10,9,-1,5164.95,57772
20140601,10,9,-1,4690.16,57772
20140701,10,9,-1,6365.74,57772
20140801,10,9,-1,5604.53,57772
20140901,10,9,-1,5934.98,57772
20141001,10,9,-1,5528.71,57772
20141101,10,9,-1,4278.51,57772
20141201,10,9,-1,3157.45,57772
20140101,10,2,-1,772.73,14443
20140201,10,2,-1,1271,14443
20140301,10,2,-1,1047.32,14443
20140401,10,2,-1,1170.69,14443
20140501,10,2,-1,1291.24,14443
20140601,10,2,-1,1172.54,14443
20140701,10,2,-1,1591.43,14443
20140801,10,2,-1,1401.13,14443
20140901,10,2,-1,1483.75,14443
20141001,10,2,-1,1382.18,14443
20141101,10,2,-1,1069.63,14443
20141201,10,2,-1,789.36,14443
